時間,キャスト,セリフ,BGM
,恵飛須沢胡桃,うぉ！なんだなんだ！,
,-,(威嚇したのち大和煮を取って走り去る太郎丸),
,恵飛須沢胡桃,ぁあ！,
,-,(立ち上がる胡桃),
,恵飛須沢胡桃,ずるいぞ！それはあたしんだ！,
,-,(缶が転がる音に反応する胡桃、背後からカレラが迫り来る),
,恵飛須沢胡桃,ヤッバ…！,
,若狭悠里,大丈夫かしら…胡桃…,
,丈槍由紀,ねぇりーさん、胡桃ちゃんまだかな,
,若狭悠里,そうね、もう少し待ちましょう,
,丈槍由紀,ん？りーさん渋いね,
,若狭悠里,ん？,
,恵飛須沢胡桃,(シャッターを開けて入ってくる胡桃)はぁ…助かった…,
,若狭悠里,胡桃,
,-,(シャッターが閉まるより前に入ってくる太郎丸),
,若狭悠里,えっ？,
,恵飛須沢胡桃,あっコイツ！,
,丈槍由紀,ワンちゃんだ！,
,太郎丸,(大和煮を置いて吠える太郎丸)ワン！,
,丈槍由紀,(電流が走る由紀)わんわんわん！,
,太郎丸,ワン！ワン！ワン！,
,恵飛須沢胡桃,通じ合ってる…？,
,丈槍由紀,(太郎丸に抱き付こうとする由紀)ワオーン！,
,恵飛須沢胡桃,(すかさず取り押さえる胡桃)待て待て待て！,
,若狭悠里,ごめんね、ちょっと待ってね,
,若狭悠里,(大和煮の缶詰を開けるりーさん)どうぞ,
,丈槍由紀,ぅあ！大和煮！,
,-,(大和煮を食べる太郎丸),
,恵飛須沢胡桃,りーさん早く…,
,若狭悠里,ちょっと待ってぇ…,
,-,(背後から太郎丸の体を調べるりーさん),
,丈槍由紀,ほへぇ〜、りーさんずるい！,
,若狭悠里,はぁ…大丈夫。噛まれてないわ(太郎丸を持ち上げるりーさん)はい、由紀ちゃん,
,丈槍由紀,わぁ！初めまして、わんちゃん,
,丈槍由紀,(由紀の顔を舐める太郎丸)わ！わぁぁぁ！,
,-,(喜びながら太郎丸を持ち上げる由紀),
,佐倉慈,由紀ちゃん落ち着いて,
,若狭悠里,あの子は？,
,恵飛須沢胡桃,地下でばっかりあった,
,若狭悠里,飼い主はどうしたのかしら,
,恵飛須沢胡桃,居たら連れてくるって,
,丈槍由紀,ねぇねぇ胡桃ちゃん、この子の名前って何かな？,
,恵飛須沢胡桃,さぁ、首輪か何かに書いてないか？,
,丈槍由紀,ぉ、ホントだ。えーと、太郎丸…太郎丸？,
,太郎丸,ワン！,
,丈槍由紀,そっか！よろしくね、太郎丸！,
,太郎丸,ワン！,
,丈槍由紀,エスカレーター故障中？,
,太郎丸,ワン！,
,恵飛須沢胡桃,うっふふふ…,
,恵飛須沢胡桃,上の階ほど奴ら少ないな,
,若狭悠里,階段が苦手みたいね…とりあえず、家電屋さんに行きましょう,
,恵飛須沢胡桃,了解,
,若狭悠里,コンロにボンベ…それから…あった！これこれ,
,恵飛須沢胡桃,防犯ブザー？,
,若狭悠里,そう,
,丈槍由紀,可愛い〜。確かここを引っ張ると…,
,若狭悠里,いじっちゃダメよ。イベント中だって言ったでしょう,
,丈槍由紀,え〜、ちょっとくらい…,
,丈槍由紀,(豹変したりーさんに恐れ慄く由紀)ひいぃぃぃ！,
,若狭悠里,だ・め・よ,
,丈槍由紀,分かりました…,
,恵飛須沢胡桃,どうすんだよ、そんなもん,
,若狭悠里,防犯よ、ぼ・う・は・ん。うっふふ…,
,若狭悠里,さぁ、大体必要なものは揃ったわね,
,一同,うん,
,若狭悠里,それじゃあ、次はお洋服を見に行きましょう,
,一同,やったー！,
,若狭悠里,しー,
,一同,ごめんなさい,
,恵飛須沢胡桃,こんなことしてていいのかな,
,若狭悠里,こんな時だから、いいと思うの,
,若狭悠里,だって私たち…女の子でしょう,
,丈槍由紀,(めぐねぇの試着室を覗く由紀)は…！,
,佐倉慈,だ、大丈夫よぉ…全然大丈夫だからね〜私だってまだまだ…ふん！あ(ビリっと服が裂ける音がする),
,恵飛須沢胡桃,おーい、他行くぞー,
,佐倉慈,はぅぅぅ…,
,丈槍由紀,お願い、ちょっと待ってあげて。いろんな意味でめぐねぇ立てない状態だから,
,丈槍由紀,店員さんには一緒に謝ってあげるから,
,佐倉慈,はぅぅぅ…大丈夫じゃなかった…,
,若狭悠里,え…めぐねぇが？,
,丈槍由紀,うん、元気付けてあげたくて,
,若狭悠里,そうねぇ…プレゼントなんてどうかしら,
,丈槍由紀,うん！そうする！,
,若狭悠里,めぐねぇの好きなもの分かる？,
,丈槍由紀,何だろう…,
,恵飛須沢胡桃,そりゃあコレだろう,
,丈槍由紀,ぁあぁ！,
,丈槍由紀,はい！めぐねぇ、これプレゼント,
,佐倉慈,私に買ってくれるの？,
,丈槍由紀,うん！,
,佐倉慈,いいの？,
,丈槍由紀,もちろん！,
,佐倉慈,ありがとう由紀ちゃん。でも、これは由紀ちゃんが持ってて,
,丈槍由紀,え、何で？同じの持ってた…,
,佐倉慈,ふふっ…それもあるけど…,
,丈槍由紀,やっぱり…,
,佐倉慈,でも、だからこそ、由紀ちゃんにも同じものを持ってて欲しいの,
,丈槍由紀,そっか、お揃いだね！,
,丈槍由紀,分かった！じゃあこの子をめぐねぇだと思って、大事にするよ。そういえばこの子、めぐねぇにも似てるしね,
,佐倉慈,ぇ…どこが？,
,丈槍由紀,主にこの辺,
,佐倉慈,えー！,
,若狭悠里,それで結局自分のにしちゃったんだ,
,丈槍由紀,うん！,
,恵飛須沢胡桃,なんだかなー,
,丈槍由紀,いっちばーん！とうちゃーく！,
,恵飛須沢胡桃,やっと最上階だな,
,太郎丸,ワン！ワン！ワン！,
,丈槍由紀,太郎丸？,
,恵飛須沢胡桃,どうしたぁ？,
,-,(通路に響く太郎丸の鳴き声),
,-,(部屋で下を向いているみーくん),
,-,(アイキャッチ),
,-,(吠え続ける太郎丸),
,丈槍由紀,太郎丸？,
,若狭悠里,太郎丸、しーよ,
,直樹美紀,(太郎丸の鳴き声がみーくんに届く)は…！太郎丸？,
,-,(ドアに耳を当てるみーくん),
,若狭悠里,太郎丸、静かに、ね,
,太郎丸,クゥ〜ン…,
,若狭悠里,ありがとね,
,恵飛須沢胡桃,りーさん,
,若狭悠里,どうしたの？,
,恵飛須沢胡桃,物音がした…椅子を倒したみたいな音,
,若狭悠里,あいつらかしら…,
,恵飛須沢胡桃,でも、1階下にはほとんどいなかったし…さっき、太郎丸が吠えたのって…,
,若狭悠里,もしかして生存者？太郎丸の飼い主とか,
,恵飛須沢胡桃,もしそうなら、助けなきゃ,
,若狭悠里,ここ…,
,恵飛須沢胡桃,あぁ、間違いない,
,丈槍由紀,映画館だぁ,
,恵飛須沢胡桃,もしもーし、すみません,
,若狭悠里,誰もいないみたいね,
,恵飛須沢胡桃,ちょっと待ってて、中調べてくる,
,若狭悠里,ここで待ってる、気を付けてね,
,-,(懐中電灯を付ける胡桃),
,-,(物音が聞こえる方へ向かい、映画館のドアを開けて絶句する),
,-,(その場から走り去る胡桃),
,カレラ,ぁあああぁぁ,
,丈槍由紀,見て見てりーさん、このわんこ、太郎丸に似てない？,
,太郎丸,ワン,
,若狭悠里,そ、そうね,
,恵飛須沢胡桃,に…逃げろー！,
,一同,？,
,恵飛須沢胡桃,奴ら！すごい数だ！,
,丈槍由紀,え？,
,恵飛須沢胡桃,由紀！行くぞ！,
,カレラ,(顔を覗かせるカレラ)ぁあああ,
,恵飛須沢胡桃,由紀！,
,丈槍由紀,ぁ！,
,-,(走る一同),
,丈槍由紀,胡桃ちゃん、りーさん、めぐねぇ！,
,恵飛須沢胡桃,大丈夫だ、今は走れ！,
,直樹美紀,やっぱり…気のせい、だよね…,
,恵飛須沢胡桃,(通路から聞こえる声)急げ！,
,-,(荷物をまとめるみーくん),
,恵飛須沢胡桃,マズイ…,
,若狭悠里,あんなに一杯…,
,恵飛須沢胡桃,りーさん、下にペンライトばら撒いて,
,若狭悠里,分かったわ,
,-,(階下にペンライトをばら撒くりーさん、それに反応するカレラ),
,恵飛須沢胡桃,突破する、着いてきて！,
,若狭悠里,由紀ちゃん行くわよ,
,恵飛須沢胡桃,(エスカレーターから滑り落ちて彼らを蹴飛ばす胡桃)ざぁぁぁ！！！,
,-,(走ってその場を後にする一同),
,-,(由紀の回想で同級生とのワンシーン),
,若狭悠里,由紀ちゃん…由紀ちゃん,
,丈槍由紀,なぁに？,
,若狭悠里,大丈夫？,
,若狭悠里,(由紀の額を触るりーさん)熱があるわね…,
,丈槍由紀,平気だよ,
,恵飛須沢胡桃,怪我は？,
,若狭悠里,それは大丈夫,
,恵飛須沢胡桃,やっぱり遠足で熱出るタイプだったかぁ,
,丈槍由紀,えへへ、ごめん,
,佐倉慈,いいから休んで、ね,
,丈槍由紀,はーい,
,-,(心配そうに寄ってくる太郎丸),
,丈槍由紀,太郎丸…,
,恵飛須沢胡桃,少し寝かせとこ,
,若狭悠里,胡桃も休んで、一番疲れてる筈よ,
,恵飛須沢胡桃,あぁ,
,若狭悠里,はい、お水,
,恵飛須沢胡桃,サンキュー,
,-,(水を飲む胡桃),
,若狭悠里,いなかったわね…生きてる人…,
,恵飛須沢胡桃,あの映画館…子供が多かったんだ,
,若狭悠里,ずっと助けを待っていたのかもね,
,恵飛須沢胡桃,いや、扉の外にバリケードがあった。中の奴らを閉じ込めるみたいに,
,恵飛須沢胡桃,きっと外から襲われたんじゃない…内側に、噛まれた奴がいたんだ,
,恵飛須沢胡桃,私やだな…あんなのやだ,
,恵飛須沢胡桃,だって、あそこには、きっと大事な人を守りたくて逃げ込んだ人もいたんだ,
,恵飛須沢胡桃,その人を、守るためにさ,
,恵飛須沢胡桃,もし、私が感染したら…迷わないでほしい,
,若狭悠里,何言ってるのもう…,
,恵飛須沢胡桃,約束してくれ…,
,恵飛須沢胡桃,指切り,
,-,(胡桃と指切りするりーさん),
,-,(起き上がる由紀),
,若狭悠里,どうしたの由紀ちゃん,
,丈槍由紀,お腹すいたぁ…,
,若狭悠里,そうね、帰ってご飯にしましょうか,
,恵飛須沢胡桃,だな,
,恵飛須沢胡桃,帰ろう、学校へ,
,-,(ペンライトを拾うみーくん),
,直樹美紀,やっぱり、誰か来てたんだ,
,直樹美紀,あっ…,
,直樹美紀,怖い…,
,-,(圭の言葉を思い出す),
,祠堂圭,でも生きていればそれでいいの？,
,直樹美紀,いい訳…ない！,
,恵飛須沢胡桃,だっしゅーつぅ…,
,若狭悠里,さぁ、戻りましょう,
,恵飛須沢胡桃,由紀ー、行くぞー,
,恵飛須沢胡桃,由紀？,
,丈槍由紀,ね…今何か聞こえなかった？,
,恵飛須沢胡桃,え、別に,
,丈槍由紀,声がしたの、私たちを呼んでた,
,太郎丸,ワン！ワン！ワン！,
,-,(顔を見合わせる胡桃とりーさん),
,恵飛須沢胡桃,由紀、それ気のせいだよ。早く帰ろうぜ,
,丈槍由紀,違うよ！本当に声がしたもん！,
,太郎丸,ワン！,
,佐倉慈,由紀ちゃん落ち着いて,
,丈槍由紀,めぐねぇも聞こえたでしょ？,
,佐倉慈,…それは…,
,-,(由紀から離れて走り出す太郎丸),
,恵飛須沢胡桃,おい太郎丸！,
,丈槍由紀,一緒に行く！,
,若狭悠里,ダメ！由紀ちゃん！,
,恵飛須沢胡桃,由紀！,
,-,(カレラが迫ってくる),
,直樹美紀,やだ…！,
,-,(エスカレーターから階下のピアノ上に飛び降りるみーくん、ピアノに近づくカレラ),
,直樹美紀,やだ…来ないで…助けて…,
,直樹美紀,誰か！誰か来て！！！お願い…お願い…！,
,太郎丸,ワン！,
,丈槍由紀,居た！あそこ！,
,直樹美紀,え！？,
,-,(吠える太郎丸),
,直樹美紀,太郎丸…それに…ホントに居た…,
,若狭悠里,ダメ！由紀ちゃん危ないわ！,
,丈槍由紀,でも…でもぉ！,
,丈槍由紀,(めぐねぇの件を思い出す由紀)いやぁぁぁ！！！,
,若狭悠里,由紀ちゃん！,
,恵飛須沢胡桃,なろぉ！,
,直樹美紀,助けに…,
,-,(彼らに足を引き摺り込まれるみーくん),
,恵飛須沢胡桃,(カレラをシャベルでぶっ飛ばす胡桃)これじゃキリが…,
,若狭悠里,みんな！耳塞いで！(防犯ブザーを鳴らすりーさん),
,丈槍由紀,ねぇ！一緒に行こ！,
,太郎丸,ワン！ワン！,
,恵飛須沢胡桃,(カレラを蹴散らす胡桃)由紀！早く！,
,直樹美紀,太郎丸…良かった…無事で,
,直樹美紀,あの、すみません…私の他に、女の子を見ませんでしたか？同い年くらいの…,
,若狭悠里,いいえ、誰も見なかったわ,
,直樹美紀,そうですか…,
,直樹美紀,少し遅くなったけど、私も行くね…圭 ,
,-,(ED),
