時間,キャスト,セリフ,BGM
,若狭悠里,よっぽど疲れたのね。寝かしといてあげましょう,｜
,恵飛須沢胡桃,でもこの車、だいぶ汚しちまったな,｜
,恵飛須沢胡桃,めぐねぇ、許してくれるかな,｜
,若狭悠里,大丈夫よ、めぐねぇなら分かってくれてると思うわ,｜
,若狭悠里,ねぇ、本当に寄らなくてよかったの？あのモールの近くだったんでしょ。くるみの家,｜
,恵飛須沢胡桃,なぁ、あいつらってさ,｜
,若狭悠里,ん？,｜
,恵飛須沢胡桃,ほら、外をうろついている連中,｜
,若狭悠里,うん…,｜
,恵飛須沢胡桃,意識って残ってるのかな,｜
,若狭悠里,えっと…くるみはどう考えてるの？,｜
,恵飛須沢胡桃,残ってないと、思う,｜
,若狭悠里,どうして？,｜
,恵飛須沢胡桃,そうじゃないと嫌過ぎる…,｜
,恵飛須沢胡桃,今まで、顔見知りとか、友達だった奴とか…他にもさ,｜
,恵飛須沢胡桃,でも、しょうがないもんな。どうしようも、できなかったもんな,｜
,恵飛須沢胡桃,だから、さっきの約束…本当よろしくな,｜
,恵飛須沢胡桃,りーさんにしか、頼めないからさ…,｜
,若狭悠里,えぇ…,We took each other’s hand
,若狭悠里,約束は守るわ…,-
,-,(苦しむ胡桃を包丁で刺そうとするりーさん),-
,-,(地下二階に到着するみーくん。血の跡を見てシャッターを潜り抜ける),-
,-,(カレラとなっためぐねぇと対面する),Vol.2 - 16 - 記憶の中の間違った景色
,直樹美紀,ぅ…,｜
,-,(めぐねでによって太郎丸が感染した事を考えるみーくん),｜
,直樹美紀,太郎丸…！,｜
,-,(スライディングしてシャッターの外側に出るみーくん),｜
,-,(シャッターに当たるカレラとなっためぐねぇ。シャッター越しに話し出すみーくん),｜
,直樹美紀,佐倉慈先生…ですよね。初めまして、直樹美紀、学園生活部の新入部員です,｜
,直樹美紀,めぐねぇのことは、みんなから聞きました,｜
,直樹美紀,優しくって、いつもみんなを支えてたって,｜
,直樹美紀,みんなを傷つけたくなかったんですよね。だから、ここに居たんですよね、ずっと,｜
,直樹美紀,(シャッターに手を当てるみーくん)でも、今はもう大丈夫です,Vol.2 - 16 - 記憶の中の間違った景色
,直樹美紀,悠里先輩は、みんなのお姉さんで、いつも先のことを見ています,Vol.1 - 25 - 今日はおやすみなさい
,直樹美紀,由紀先輩は、いつも元気でみんなの支えになっています,｜
,直樹美紀,くるみ先輩は…くるみ先輩は、困った時に頼りになります,｜
,直樹美紀,めぐねぇが居なかったら、私もここにいません。今は、4人みんなで支え合って…精一杯、学校で暮らしています。だから！,｜
,-,(みーくんの脚を掴むカレラとなっためぐねぇ),｜
,直樹美紀,(驚くみーくん)は…！,｜
,直樹美紀,(シャベルを構えるみーくん)ゆっくり…休んでください,｜
,直樹美紀,(大きく息を吸い、カレラとなっためぐねぇにシャベルを突き刺す),Vol.1 - 25 - 今日はおやすみなさい
,丈槍由紀,はぁぅ…！,-
,-,(ポータブルCDプレイヤーが落下すると同時にアナウンスが鳴る),-
,アナウンサー,警告、警告。電力低下により、地下避難区画は非常電源に切り替わりました,-
,-,(地下の警告音に反応するカレラ),-
,-,(アイキャッチ),-
,-,(めぐねぇが居た部屋に到着するみーくん),-
,直樹美紀,ここの何処かに薬が…,-
,-,(めぐねぇの手記を見つめるみーくん。薬が入った箱を見つける),-
,直樹美紀,この手形は…,-
,-,(箱を開けるみーくん),-
,直樹美紀,鎮静剤…抗生物質…初期感染者用実験薬…これだ！これで胡桃先輩が助かる…！,-
,-,(手を合わせるみーくん),-
,直樹美紀,佐倉先生…必ず、胡桃先輩を助けます,-
,-,(人混みの中声を出す由紀),-
,丈槍由紀,すみません…ちょっと通してください…待って…！みんなどこへ行くの？ねぇ待って！置いてかないで！,-
,佐倉慈,丈槍さん,-
,丈槍由紀,…？,-
,佐倉慈,何大きな声出してるの,-
,丈槍由紀,めぐねぇ…,-
,佐倉慈,めぐねぇじゃありません、佐倉先生でしょ？,-
,丈槍由紀,はぁい…,-
,佐倉慈,いいから早く教室に入りなさい,-
,丈槍由紀,でも、みんなが…,-
,佐倉慈,みんな教室に居るわよ,-
,丈槍由紀,そっか！,-
,丈槍由紀,(教室のドアを開ける由紀)みんな！お待たせ！は…,-
,丈槍由紀,(目の前に広がる光景に絶望する由紀)ぁ…,Vol.2 - 25 - 輝く明日のための戦い
,-,(血塗れの布を持つ由紀),｜
,丈槍由紀,ぁ…！今の…,｜
,-,(地下避難区画から戻ろうとするみーくんの目の前にカレラが迫る),｜
,直樹美紀,そんな…時間がないのに…,｜
,-,(ドアを開けて出てくるカレラ。逃げるようにとある一室に辿り着くみーくん),｜
,-,(ドアを開けると同時に出ていく太郎丸),｜
,丈槍由紀,今のは…,｜
,丈槍由紀,(部屋に入るみーくん。カレラがドアを叩く)早く戻って薬を届けないと…胡桃先輩が…！どこか、抜け道は…,｜
,丈槍由紀,ここは、まるであの部屋みたい…(ドアを押されるみーくん)ぅっ！,｜
,丈槍由紀,どうしてよ…あそこからは抜け出せた筈なのに…ここで終わりなの…？(ドアを押さえているみーくん),｜
,丈槍由紀,結局…この狭い部屋の中、一人ぼっちで…どこにも逃げ出せない、助けも来ない。あのモールにいた頃と同じように…,｜
,-,(床に刺さる包丁),｜
,丈槍由紀,そんなのやだよ…！助けて…誰か…！助けてよ…！圭…,｜
,若狭悠里,ごめんなさい…,｜
,丈槍由紀,太郎丸…,｜
,若狭悠里,ごめんなさい…,｜
,丈槍由紀,胡桃先輩…,｜
,丈槍由紀,悠里先輩…由紀先輩…(カレラがドアを押し切る),Vol.2 - 25 - 輝く明日のための戦い
,-,(立ち上がる由紀),-
,佐倉慈,どうしたの？,-
,丈槍由紀,私…行かなきゃ,-
,丈槍由紀,行かなきゃ、学園生活部が終わっちゃう気がするんだ,-
,佐倉慈,そっか…じゃあ、放送室を目指しなさい,-
,丈槍由紀,放送室？,-
,佐倉慈,そうすれば美紀さんを…いいえ、みんなを助けられるかもしれない,-
,丈槍由紀,うん、分かった…！(金属バットを手に取る由紀)おも…,-
,佐倉慈,こっちよ,-
,丈槍由紀,この辺もう居なくなってるね。さっき大きなサイレンが聞こえたけど、そっちに行っちゃったみたいだね,-
,丈槍由紀,ねぇめぐねぇ…私、みんなにまた会えるのかな。それとも…もう,-
,丈槍由紀,(幻覚を見る由紀)…！,-
,恵飛須沢胡桃,だいぶ進んだけど、脱出路の確保はまだまだ遠いな…,-
,若狭悠里,そうねぇ、一階はまだ時間がかかりそうね,-
,-,(机と共にこける由紀),-
,佐倉慈,大丈夫？,-
,丈槍由紀,ごめんなさい…,-
,佐倉慈,誰も責めてないわよ,-
,丈槍由紀,私ドジだし…力も無いし…居るだけでみんなの足でまといだよね…迷惑だよね…,-
,佐倉慈,うぅん、そんなことない。由紀ちゃんにだって、誰にも負けない取り柄があるじゃない,-
,佐倉慈,あなたの笑顔って素敵よ。みんなに元気をくれるもの,Vol.1 - 15 - 優しいめぐねえ ありがとう
,丈槍由紀,ホント？,｜
,佐倉慈,もちろん！,｜
,佐倉慈,だって、私がいつも由紀ちゃんから、元気をもらっているんだもの。きっとみんなもそう…,｜
,佐倉慈,だから、先生と約束して？この先何があっても、その笑顔を忘れないで,｜
,佐倉慈,由紀ちゃんのことは、先生がずっと見守っててあげるから,｜
,丈槍由紀,ずっと？,｜
,佐倉慈,えぇ！,｜
,丈槍由紀,じゃあ！私頑張る！すぅっごぉく頑張るよ！,｜
,恵飛須沢胡桃,おいおい、笑顔は頑張るもんじゃねえだろう,｜
,若狭悠里,そうねぇ,｜
,丈槍由紀,そだね〜,｜
,-,(笑う一同),｜
,丈槍由紀,(由紀の方を向くめぐねぇ)は…,｜
,-,(その場に立ちつくす由紀),｜
,佐倉慈,由紀ちゃん？,｜
,丈槍由紀,めぐねぇ！,｜
,丈槍由紀,(あの扉の前に立ち過去の出来事を思い出す)は…！,｜
,丈槍由紀,離して！,｜
,若狭悠里,由紀ちゃんやめて！,｜
,丈槍由紀,まだめぐねぇが外に！早くしないと！,｜
,恵飛須沢胡桃,ダメだ！もう！,｜
,丈槍由紀,めぐねぇ！めぐねぇ！,｜
,-,(恐怖に怯える由紀),｜
,佐倉慈,由紀ちゃん,｜
,丈槍由紀,は…！めぐねぇ…！(金属バットから手を離して扉に耳を当てる由紀),｜
,佐倉慈,もうすぐ放送室ね、大丈夫？怖くない？,｜
,丈槍由紀,本当は…すっごく怖い…でも私ね、ずっと怖いことから目をそらし続けて、大変なことをみんなに任せてきちゃったから…このままじゃいけないと思うんだ,｜
,丈槍由紀,このままじゃ、大切なものが全部無くなっちゃいそうだから…,｜
,丈槍由紀,その方が、もっと怖いから,｜
,佐倉慈,由紀ちゃん、これからも、私との約束忘れずに覚えていてね,｜
,佐倉慈,この先何があっても,｜
,丈槍由紀,うん、ずっと忘れないよ、めぐねぇ,｜
,-,(何かを話してその場をさるめぐねぇ),｜
,丈槍由紀,めぐねぇ！(扉を開ける由紀),Vol.1 - 15 - 優しいめぐねえ ありがとう
,-,(その場で泣く由紀。その後泣き止んで進む事を決意する),-
,丈槍由紀,バイバイ…めぐねぇ…,-
,-,(ED),アフターグロウ
