時間,セリフ
15:36,さぁ来いッ！ここがお前の死に場所だ！
15:41,フン！お前だけは簡単には死なさんぞ！
15:47,戦う意志を見せなければ この星を破壊し尽くすだけだ！
15:54,戦う意志を見せなければ この星を破壊し尽くすだけだッ！
16:01,この俺を超える事は出来ぬ！
16:06,その程度のパワーで 俺を倒せると思っていたのか？
16:12,ハァァァ…ハァァァ！！！気が高まる…溢れる！
16:21,所詮 クズはクズなんだ
16:26,カカロット…何処にいる…！カカロットォ！
16:34,カカロットォ…今楽にしてやるぞぉ
16:40,どうしたクズめェ フハハハハハハハ
16:47,フッムッハッハッハッハッハッハッ よくやったと褒めてやりたいところだ！
16:54,クズが！ジタバタしおって！
16:59,セィ！
17:01,フン！
17:03,ムゥァッ！
17:06,ヘハハァ！
17:09,ヘン！
17:11,うりあぁ！
17:14,ゲッハァ！
17:17,んんぬはぁ！
17:20,セェェイッ！
17:22,ぅうりやぁぁ！
17:26,ぐぅぅぅおぉ！
17:29,ぐぅぅ…！
17:31,あぁがぁっ！
17:34,んごぉぉぉおおお！
17:39,ググググググググググググググ！
17:44,ギィ…！
17:46,んなぁ！
17:49,うがぁ！
17:51,ごぉぉあ！
17:57,ごぉお！
17:56,ぐうぅ！
17:59,ごはぁぁ！
18:01,ぐああぁ！
18:04,ごばっ！
18:06,ごはぁ！
18:09,ぃいやぁダダダダダダ！
18:12,ィィヤァ！
18:15,こぉんなものかァ！
18:18,んんんむぅっ！
18:21,んなにっ！？
18:23,ごぉぉぉ！
18:26,カッッ！
18:28,フン！
18:31,ハッ！
18:33,わっ！
18:35,うぅわぁぁ！
18:39,雑魚がァ！
18:42,フッヒヒッ！
18:45,ぁあぐあっ！
18:47,こんなものッ！！
18:51,カァァッ！
18:53,ぐぅうおぉ！
18:56,むぅぅうえぁ！
18:59,ぇえあぁ！
19:02,ぐぅぅうえぇぁ！
19:06,むぅぅうえあぁ！
19:12,ハァァァアア！
19:13,こぉろしてやるッ！！！
19:17,雑魚が…！
19:20,ハァッ…ハァッ…！
19:24,フッッ！
19:27,ムィッ！
19:30,ヘィ！
19:32,カッ！
19:34,ム！
19:36,無駄だァ
19:39,ゼェェェイ！
19:41,ィエッハッハァ！
19:43,ディィエェイ！
19:44,死ねぇい！
19:47,んんうりゃぁあ！
19:50,手加減って何だァ？
19:53,ヘハハァッ！
19:55,んむぁっ！
19:58,ム！
20:00,トッ！
20:02,しぃぬがいいぃ！
20:06,殺してやるッ
20:09,ゥウリァ！
20:12,ふんんんんん！
20:16,カカロットォ！！！！
20:21,消えろォ！！！
20:24,お遊びは終わりだァ…
20:28,助けなどォ…！
20:31,不甲斐ないぃ…！
20:34,血ぃ祭りにあげてやるぅ
20:37,すぅぐに楽にしてやろう
20:41,俺が殺してやろう………
20:45,逃すかァ！！！
20:48,殺してやるゥ…！
20:51,んん？？
20:53,ケッ
20:56,カッカロットォ！！！
21:01,グゥゥゥァア！
21:05,ウゥゥウエアァ！カカロットォ！！！
21:10,カカロット！カカロットォ！
21:15,カカロット…カカロット！
21:20,俺がバケモノ？違う！俺は悪魔だ！フハハハハハ！
21:28,雑魚がァ…何処だァ…！カカロットォ！
21:34,フン…雑魚が集まったところで無駄なのだァ！
21:40,カカロット…まずお前から血祭りにあげてやる！
21:46,さぁ来いッここがお前の死に場所だ
21:52,フン…！お前だけは簡単には死なさんぞォ！
21:58,雑魚は引っ込んでいろォ
22:02,戦う意志を見せなければ…この星を破壊し尽くすだけだァ！
22:09,戦う意志を見せなければ…この星を破壊し尽くすだけだ！
22:16,カカロットは何処だァ！！！
22:21,ハァ…ハァ…気が高まる…！溢れる！
22:28,所詮クズはクズなんだ
22:32,カカロット…何処にいるぅ！カカロットォ！
22:38,カカロット…今楽にしてやるぞぉ
22:43,どうしたクズめェ…フッハッハッハッハッハッ！
22:49,ぅううえああぁ！
22:51,俺とお前を止める事は出来ぬ
22:53,全ての星を 破壊し尽くすだけだ！
