時間,セリフ
3:43,遅刻だぁ！
3:45,ナナカマド研究所テンガン山支部へようこそ 今日からここが君たちの学校だぁ
3:51,様々な場所に様々なポケモンがいるように 出身や年齢もバラバラのみんながここに集まり 1週間 寝食を共にすることとなった
4:02,これも何かの縁 授業で出会うポケモンはもちろん 生徒同士ポケモン同士 進行を深め 楽しい時間を過ごしてくれたまえ
4:11,ポケモンバトルだぁ
4:13,うむ その調子だ
4:14,ただし実際のバトルは明日 まずは選んだポケモンとのご対面だ
4:20,バカモーン！
4:22,誰が自分のポケモンでバトルしろと言った
4:27,ここは喧嘩をする場所ではない ポケモンと仲良くする場所だ
4:32,1時間目はここまでだ
4:34,明日のバトルでポケモンとどれだけ仲良くなれたか判定し 得点を与える
4:39,うむ そのいきだ
4:41,あの2人のように最初は何だかんだいがみ合っていても やがてはいいライバルになれる
4:47,それがこのスクールの いいところだ
4:50,ではこれより ポケモンバトルを始める
4:53,みんな 自分のポケモンの良さを十二分に引き出して バトルするように
4:58,みんな 初めてのポケモンに戸惑いつつもよぉく頑張った
5:02,これからも更にいろんなポケモンと出会い触れ合い楽しんでくれたまえ
5:07,では 今回最もポケモンと親交を深めた生徒を発表する
5:12,赤組のヒカリだ
5:14,そして 個人の得点を総合した結果 現在のクラス対抗1位は 青組だ
5:21,2位は緑組 そして赤組が最下位だ
5:25,確かにみんなよく頑張ったが アオイとサトシの昨日の喧嘩や居眠りが 減点の対象になったな
5:32,うむ では諸君 夕食を楽しんでくれたまえ
5:36,今日は課外授業だ
5:38,この湖にいる水ポケモンを観察するように
5:42,なおぉこの地域にいる水ポケモンは まだ研究中なので ゲットは禁止だ
5:48,それでは始めェ！
5:50,うむ 素晴らしいレポートだ みんな 10点満点！
5:54,だがぁ 君たちは無断で湖から離れたね
5:58,担当の先生方がどれほど心配したかぁ
6:01,おぉネオラントが来たかぁ
6:04,今年は少し早いようだな
6:06,校長のナナカマドである
6:08,今日はゴーストポケモンとの正しい触れ合い方を学ぶプログラムを行う
6:13,このプログラムの狙いは いつどこでゴーストポケモンと出会っても 正しく対応する方法を学ぶことにある
6:22,詳しい事は各担任から聞くように
6:25,うんんそれはおかしいなぁ この山のゴーストポケモン達は皆うちの研究所で管理しているが その中にヨノワールは居ない
6:34,それに このエリアには野生のヨノワールも居ないはずだ
6:39,ただぁ 先日遺跡の補修作業中に ちょっとした事故があって
6:45,その石壁の奥から洞窟が発見されたんだが それが伝説の霊界への入り口ではないかという者もいるのだ
6:54,図鑑にはヨノワールはヒトを霊界へ連れて行くとあるが そのヨノワールは本当に霊界からやってきて 誰かをそこへ連れて行こうとしているのかもしれないな
7:06,あれは！
7:07,待て！君達はこれ以上近づくな
7:10,ヨノワールが！二人を守っている
7:13,可動かどうかは分からんがともかく ヨノワールはあの入り口の番人なのは確かなようだ
7:19,世の中には 科学では説明のつかない事が まだまだあるようだなぁ
7:25,昨夜は色々大変だったが みんな頑張ったから 全てのクラスに30点を与える
7:31,最後のプログラムは サマースクール最大のイベント ポケモントライアスロンだ
7:37,ここで学んだ事体験した事を活かし 全力を尽くしてくれたまえ
7:43,みんな 早くも盛り上がってるようだが それではポケモントライアスロンを開始する
7:49,全員で位置について よぉい
7:52,はてさて どんな結末が待っておるかな
7:55,様々なポケモンと触れ合い知識を深める それがこのスクールの狙いの一つだからな
8:01,以上で全てのプログラムは終了だ
8:04,まずは優勝した赤組のみんな おめでとう！
8:07,これからも各自 ポケモンたちと親しみ学び たくさんの友達を作って 友情を深めるよう希望する
8:15,さぁ！この後は キャンプファイヤーでパーティーだ！  　
