時間,セリフ
9:37,あぁ まぁね
9:39,未来では マイは 君よりも大きくなってて 俺ぐらいにね
9:48,ブラックの最初の攻撃で 人類の大半は壊滅したんだ
9:53,人類は反撃した
9:56,各国の軍隊は ブラックに攻撃を仕掛けたが…
10:01,生き残った人々は 地下に潜り いつしか集まり 抵抗軍を組織して戦い続けた その中心の一人となったのが 未来の君なんだ
10:16,何度も攻撃したものの 抵抗軍の犠牲者は増える一方だった
10:21,俺は マイ達と協力して 何とかブラックを追い詰めようとしたんだが…
10:27,今日こそお前を倒す 人間を滅ぼすなんて…させない！
10:32,勝手な事を！
10:34,ふざけるな！お前が決めることではない！
10:47,だが…カリン様はもう居ない…
10:50,自分のことは自分で何とかする
10:53,その希望が 何度君に助けられたか…
10:58,悟飯さんや父さんたちなら きっともう ブラックを倒していた
11:03,君には助けられたし 励まされた だから嬉しいんだ また 君に会えて
11:11,それは…
11:12,さぁ 見なかったな…
11:14,俺も…タイムマシンの修理を手伝いたい
11:19,この時代に来られたのは 母さんと マイのおかげだから
11:24,ずっと マイには助けられていたんだ 1日も早くあの時代に戻るためにも
11:31,悟空さん
11:33,はい…
11:34,母さん どうですか
11:36,有ったんですか？青の15号テンケイキが…
11:39,1日！？そんなに早いんですか…向こうの世界では 半分抽出するのに 一年近くは掛かっていました
11:48,はいッ
11:49,手伝いましょうか…
11:50,あっああ…ぁはい ありがとうございます
11:55,ところで 悟飯さんは お元気なのでしょうか
11:58,ぇ！そうですか…夢が叶ったんですね おめでとうございます
12:06,悟飯さんは 俺の師匠なんです
12:08,はい
12:09,悟飯さん​は…
12:14,悟飯さん！嫌だ！悟飯さんが行くなら僕も行く！もう随分強くなった筈だ！
12:21,はいぃッ！
12:22,そして 気づいた時には…
12:25,悟飯さん…悟飯さんッ…！悟飯さん！ぅあああああ！！！
12:55,俺が最後まで戦えたのは…ご飯さんのおかげなんです なのに…この前来た時は お礼も言えなくて…
13:05,あそこか…
13:07,悟飯さん…？
13:08,これが悟飯さん…あの迸る力が…！感じられない？
13:14,あぁぁいえ あの…チョコでいいです
13:17,ぁはいぃ…
13:18,えっあはい いただきます
13:21,あはい…家族…
13:24,どうも…
13:25,どうも 確か…サタンさん…
13:28,はい 前に来た時
13:31,あっ大丈夫ですぅ
13:33,悟飯さんの娘だからなぁ
13:37,え…なんなんだっこれは…
13:41,えっあはは いや でも俺…
13:44,ぁぅそれじゃ…
13:46,俺は…こんなところで何をしているんだ…未来は危機の真っ只中だというのに…
13:52,え あ サタンさん！？
14:01,いえ〜 僕の方こそ 赤ちゃんの世話なんてした事なくて
14:04,悟飯さんって…こんな顔するんだ
14:08,…はい！
14:11,クッ…ブラックさえ現れなければ…俺たちの未来だって
14:15,ごちそうさまでした ビーデルさん とても美味しかったです
14:19,はい 是非
14:21,悟飯さん 会えてよかったです 研究 頑張ってくださいね
14:26,パンちゃん またね
14:28,よろしくお願いします
14:29,それでは
14:32,悟飯さん ありがとうございました
14:37,自分が何のために戦っているのか はっきり分かりました
14:42,見ていてください 必ずブラックを倒し みんなが笑って過ごせる世界を 取り戻してみせますから
14:50,遅くなってすみません
14:52,はい あ 悟空さんたちは…第10宇宙…？
14:58,ブラックの正体が分かったんですか！？
